iter	Passed	Remaining
0	15	23209
1	32	24131
2	50	25070
3	70	26267
4	76	22852
5	98	24650
6	106	22716
7	123	23064
8	132	21912
9	151	22527
10	174	23554
11	179	22217
12	194	22257
13	206	21931
14	219	21705
15	234	21719
16	247	21584
17	258	21274
18	281	21914
19	294	21803
20	301	21268
21	313	21090
22	333	21388
23	338	20818
24	357	21076
25	363	20626
26	380	20784
27	417	21930
28	452	22930
29	464	22763
30	494	23409
31	516	23688
32	529	23522
33	555	23952
34	579	24257
35	588	23925
36	608	24079
37	617	23741
38	711	26647
39	724	26437
40	743	26465
41	787	27341
42	815	27636
43	831	27523
44	868	28079
45	894	28272
46	920	28448
47	947	28660
48	978	28989
49	1005	29147
50	1018	28941
51	1026	28597
52	1043	28489
53	1057	28317
54	1087	28577
55	1111	28663
56	1135	28740
57	1150	28606
58	1180	28821
59	1212	29088
60	1245	29372
61	1284	29788
62	1298	29619
63	1341	30104
64	1366	30173
65	1409	30630
66	1427	30529
67	1445	30441
68	1463	30346
69	1486	30368
70	1517	30536
71	1542	30592
72	1577	30846
73	1593	30709
74	1609	30584
75	1641	30754
76	1673	30930
77	1687	30762
78	1701	30608
79	1725	30622
80	1745	30572
81	1769	30595
82	1788	30532
83	1805	30427
84	1836	30569
85	1852	30458
86	1873	30432
87	1894	30400
88	1912	30327
89	1929	30227
90	1939	30032
91	1956	29936
92	1965	29735
93	1978	29595
94	1996	29529
95	2007	29361
96	2020	29218
97	2044	29244
98	2053	29062
99	2065	28912
100	2077	28782
101	2096	28733
102	2115	28688
103	2122	28495
104	2131	28320
105	2148	28250
106	2158	28105
107	2199	28351
108	2218	28316
109	2239	28295
110	2278	28517
111	2290	28385
112	2309	28353
113	2328	28309
114	2364	28471
115	2402	28666
116	2415	28551
117	2439	28574
118	2454	28484
119	2481	28538
120	2510	28608
121	2518	28447
122	2544	28482
123	2570	28527
124	2586	28447
125	2609	28452
126	2633	28473
127	2643	28332
128	2655	28219
129	2677	28212
130	2702	28239
131	2721	28206
132	2737	28138
133	2757	28111
134	2765	27957
135	2776	27848
136	2795	27812
137	2817	27811
138	2837	27783
139	2845	27641
140	2873	27696
141	2888	27626
142	2908	27602
143	2925	27546
144	2935	27433
145	2952	27384
146	3017	27773
147	3045	27816
148	3065	27795
149	3076	27684
150	3111	27793
151	3141	27856
152	3169	27907
153	3183	27828
154	3216	27910
155	3248	27985
156	3264	27928
157	3292	27967
158	3312	27934
159	3344	28006
160	3399	28273
161	3429	28323
162	3451	28311
163	3467	28249
164	3485	28198
165	3502	28144
166	3520	28104
167	3538	28059
168	3559	28030
169	3575	27973
170	3594	27936
171	3612	27888
172	3630	27849
173	3659	27890
174	3676	27838
175	3693	27784
176	3710	27734
177	3728	27694
178	3750	27678
179	3767	27629
180	3786	27594
181	3803	27545
182	3825	27531
183	3842	27483
184	3859	27432
185	3879	27409
186	3910	27457
187	3927	27409
188	3946	27376
189	3964	27337
190	3981	27288
191	3999	27249
192	4019	27219
193	4035	27169
194	4053	27127
195	4073	27098
196	4092	27066
197	4110	27027
198	4126	26980
199	4146	26950
200	4177	26996
201	4197	26973
202	4215	26934
203	4231	26883
204	4255	26882
205	4274	26850
206	4292	26812
207	4311	26780
208	4333	26768
209	4365	26814
210	4384	26782
211	4403	26753
212	4429	26767
213	4452	26757
214	4469	26714
215	4487	26677
216	4509	26664
217	4528	26630
218	4546	26594
219	4565	26561
220	4583	26524
221	4599	26480
222	4622	26471
223	4643	26450
224	4660	26412
225	4680	26382
226	4711	26420
227	4731	26394
228	4747	26352
229	4771	26346
230	4788	26306
231	4805	26263
232	4824	26233
233	4841	26195
234	4860	26163
235	4878	26128
236	4898	26103
237	4916	26072
238	4935	26037
239	4963	26057
240	4981	26022
241	4998	25983
242	5016	25947
243	5039	25942
244	5058	25909
245	5076	25878
246	5093	25839
247	5110	25800
248	5128	25767
249	5148	25743
250	5167	25713
251	5183	25668
252	5201	25637
253	5233	25671
254	5250	25636
255	5266	25592
256	5283	25554
257	5309	25558
258	5325	25516
259	5345	25494
260	5364	25463
261	5381	25427
262	5397	25387
263	5418	25366
264	5436	25337
265	5456	25310
266	5499	25396
267	5535	25445
268	5565	25467
269	5592	25478
270	5629	25529
271	5664	25574
272	5701	25623
273	5722	25603
274	5757	25649
275	5780	25636
276	5817	25687
277	5841	25678
278	5864	25663
279	5884	25640
280	5913	25653
281	5931	25620
282	5956	25614
283	5980	25604
284	5998	25571
285	6020	25554
286	6047	25560
287	6064	25521
288	6089	25515
289	6119	25533
290	6139	25507
291	6165	25504
292	6185	25479
293	6208	25465
294	6236	25472
295	6260	25463
296	6280	25440
297	6298	25404
298	6315	25367
299	6334	25336
300	6352	25305
301	6374	25288
302	6397	25274
303	6421	25261
304	6448	25265
305	6468	25240
306	6492	25229
307	6515	25217
308	6540	25210
309	6558	25175
310	6581	25163
311	6605	25151
312	6623	25117
313	6648	25110
314	6670	25095
315	6689	25063
316	6717	25068
317	6735	25037
318	6757	25018
319	6778	24994
320	6797	24965
321	6813	24925
322	6832	24897
323	6848	24856
324	6865	24821
325	6884	24791
326	6900	24754
327	6919	24724
328	6937	24692
329	6956	24663
330	6970	24616
331	6986	24578
332	7003	24543
333	7022	24514
334	7040	24483
335	7057	24448
336	7075	24418
337	7094	24388
338	7112	24357
339	7129	24324
340	7146	24288
341	7162	24252
342	7179	24216
343	7195	24180
344	7214	24152
345	7232	24123
346	7249	24089
347	7267	24056
348	7287	24032
349	7304	24001
350	7323	23974
351	7341	23944
352	7360	23916
353	7377	23883
354	7393	23847
355	7412	23818
356	7430	23789
357	7447	23757
358	7466	23731
359	7484	23702
360	7503	23674
361	7528	23667
362	7553	23658
363	7578	23650
364	7601	23636
365	7618	23605
366	7641	23589
367	7666	23582
368	7683	23549
369	7700	23518
370	7719	23490
371	7736	23459
372	7752	23424
373	7771	23396
374	7788	23364
375	7804	23331
376	7823	23303
377	7843	23280
378	7860	23249
379	7878	23221
380	7896	23192
381	7914	23161
382	7932	23135
383	7948	23101
384	7967	23073
385	7984	23042
386	7999	23007
387	8086	23174
388	8104	23146
389	8141	23170
390	8156	23133
391	8191	23153
392	8205	23111
393	8227	23094
394	8301	23221
395	8355	23293
396	8367	23246
397	8385	23217
398	8411	23211
399	8435	23197
400	8466	23202
401	8499	23214
402	8511	23170
403	8529	23139
404	8552	23124
405	8572	23098
406	8597	23088
407	8613	23052
408	8640	23048
409	8660	23023
410	8671	22977
411	8689	22947
412	8709	22922
413	8734	22911
414	8750	22878
415	8769	22851
416	8800	22856
417	8810	22807
418	8832	22787
419	8844	22743
420	8871	22736
421	8881	22688
422	8897	22655
423	8915	22624
424	8934	22598
425	8955	22577
426	8963	22524
427	8975	22479
428	8989	22441
429	9005	22410
430	9019	22371
431	9033	22331
432	9043	22285
433	9059	22251
434	9073	22214
435	9091	22186
436	9106	22151
437	9153	22194
438	9159	22136
439	9170	22092
440	9187	22062
441	9199	22020
442	9206	21966
443	9257	22018
444	9267	21971
445	9292	21959
446	9309	21931
447	9338	21929
448	9350	21887
449	9378	21883
450	9408	21884
451	9422	21847
452	9441	21821
453	9462	21800
454	9475	21761
455	9491	21730
456	9546	21787
457	9573	21781
458	9597	21767
459	9639	21794
460	9645	21738
461	9663	21712
462	9692	21707
463	9704	21666
464	9719	21633
465	9737	21607
466	9778	21630
467	9810	21633
468	9819	21586
469	9834	21552
470	9858	21538
471	9883	21524
472	9898	21492
473	9930	21494
474	9946	21462
475	9961	21430
476	9993	21432
477	10009	21400
478	10025	21369
479	10040	21336
480	10077	21348
481	10089	21308
482	10117	21302
483	10133	21272
484	10153	21248
485	10181	21242
486	10200	21217
487	10216	21187
488	10240	21172
489	10262	21153
